"","Event","t2","s1","s2","totSamp","na.rm","year","totCatch","length","t1","sTot","sCPM"
"309","2009T04015",59.48,0.75,0,180.41,TRUE,2009,707.5,0.99,527.09,0.75,0.757575757575758
"310","2009T04016",62.89,0,0,407.067951,TRUE,2009,936,1,528.932049,0,0
"311","2009T04017",67.91,0,0,356.124958,TRUE,2009,736.5,1,380.375042,0,0
"312","2009T04018",42.28,0,0,574.58,TRUE,2009,2251,1,1676.42,0,0
"313","2009T04019",41.21,0,0,187.66,TRUE,2009,359,1,171.34,0,0
"314","2011T04003",48.518,0,0,156.605,TRUE,2011,215.5,0.59,58.895,0,0
"315","2011T04004",57.53,0,0,182.014,TRUE,2011,399,0.57,216.986,0,0
"316","2011T04005",62.33,1.6,0,196.9122,TRUE,2011,600,0.61,403.0878,1.6,2.62295081967213
"317","2011T04006",49.815,0,0,120.602,TRUE,2011,381,0.51,260.398,0,0
"318","2011T04007",48.581,0,0,86.472,TRUE,2011,312,0.53,225.528,0,0
"319","2011T04008",46.4,0.9,0,91.72,TRUE,2011,117,0.52,25.28,0.9,1.73076923076923
"320","2011T04009",58.445,0,0,401.239,TRUE,2011,417,0.55,15.761,0,0
"321","2011T04010",48.827,0,0,151.587,TRUE,2011,171,0.53,19.413,0,0
"322","2011T04011",52.384,0,0,136.974,TRUE,2011,193,0.53,56.026,0,0
"323","2011T04012",50.168,0,0,101.508,TRUE,2011,144,0.52,42.492,0,0
"324","2011T04013",46.267,0,0,113.257,TRUE,2011,119,0.5,5.74299999999999,0,0
"325","2011T04014",48.21,0,0,123.54,TRUE,2011,226,0.54,102.46,0,0
"326","2011T04015",26.2,0,0,154.252,TRUE,2011,154.252,0.51,0,0,0
"327","2011T04016",54.697,0,0,117.762,TRUE,2011,187,0.52,69.238,0,0
"328","2011T04017",54.4,0,0,104.68,TRUE,2011,209,0.52,104.32,0,0
"329","2011T04018",54.604,0,0,160.733,TRUE,2011,220,0.5,59.267,0,0
"330","2011T04019",49.532,0,0,132.48,TRUE,2011,225,0.52,92.52,0,0
"331","2011T04020",54.36,0,0,214.25,TRUE,2011,257,0.55,42.75,0,0
"332","2011T04021",52.455,0,0,168.455,TRUE,2011,237,0.53,68.545,0,0
"333","2011T04023",42.426,0,0,137.292,TRUE,2011,373,0.55,235.708,0,0
"334","2011T04025",53.41,0,0,192.89,TRUE,2011,310,0.53,117.11,0,0
"335","2011T04026",42.703,1.7,0,238.523,TRUE,2011,316,0.52,77.477,1.7,3.26923076923077
"336","2011T04027",56.081,0,0,291.181,TRUE,2011,1129,0.5,837.819,0,0
"337","2011T04028",45.412,0,0,109.882,TRUE,2011,193,0.51,83.118,0,0
"338","2011T04029",46.824,0,0,112.494,TRUE,2011,226,0.52,113.506,0,0
"339","2011T04030",39.002,0,0,78.692,TRUE,2011,142,0.51,63.308,0,0
"340","2011T04031",48.655,0,0,134.138,TRUE,2011,298,0.52,163.862,0,0
"341","2011T04032",41.835,0,0,126.005,TRUE,2011,204,0.53,77.995,0,0
"342","2011T04033",0,0,0,96.543,TRUE,2011,96.543,0.5,0,0,0
"343","2011T04034",46.471,0,0,103.957,TRUE,2011,231,0.53,127.043,0,0
"344","2011T04035",45.216,0,0,121.206,TRUE,2011,249,0.53,127.794,0,0
"345","2011T04036",54.578,0,0,95.708,TRUE,2011,184,0.5,88.292,0,0
"346","2011T04037",45.976,0,0,226.516,TRUE,2011,435,0.52,208.484,0,0
